ProbeID	REGENS:248	REGENS:249	REGENS:250	REGENS:251	REGENS:252	REGENS:253
ENSDART00000135676	0	0	0	0	0.044270411	0
ENSDART00000135677	0	0	0	0	0	0
ENSDART00000135678	5.349712208	5.672437665	5.651730005	5.635196697	5.770773845	5.883609843
ENSDART00000135679	0	0	0	0	0	0
ENSDART00000135680	0	0	0	0	0	0.03782178
ENSDART00000135681	0.446664084	0.165344672	0.642040041	0.462590383	0.247282812	0.110614702
ENSDART00000135682	3.410126136	4.213130133	3.56848066	3.8625006	3.581215624	3.625537369
ENSDART00000135683	0.257493138	0	0.075031748	0.088144729	0.044270411	0.145678621
ENSDART00000135684	0	0.085039773	0	0	0	0
ENSDART00000135685	0	0	0	0	0.044270411	0
ENSDART00000135686	0	0	0.247131238	0	0	0.537610468
ENSDART00000135687	0.223404624	1.314734855	0.180734167	0.588822275	0.247282812	0.145678621
ENSDART00000135688	0	0	0	0	0	0
ENSDART00000135689	0	0	0	0.49519883	0	0
ENSDART00000135690	0	0	0	0	0	0
ENSDART00000135691	0.078375512	0.085039773	0.34132666	0.462590383	0.458317862	0.110614702
ENSDART00000135692	0	0	0	0.044745435	0	0
ENSDART00000135693	0	0	0	0	0	0
ENSDART00000135694	0.078375512	0	0	0	0	0
ENSDART00000135696	0.475914439	0.448162926	0.485820034	0.527086507	0	0.427944449
ENSDART00000135697	0	0	0	0	0	0
ENSDART00000135698	0.039719917	0.125750903	0.310606498	0.088144729	0	0
ENSDART00000135699	1.717635155	2.196072546	1.255796568	1.546744044	1.626591271	1.727248252
ENSDART00000135700	2.139318334	1.764822064	1.966961889	2.008670015	2.136392154	2.056917842
ENSDART00000135701	0	0	0	0	0	0
ENSDART00000135702	0.386321769	0.085039773	0.371406294	0.211019384	0.208901612	0.074677299
ENSDART00000135703	1.419460655	0.863684191	1.559992886	1.176352233	1.020293822	0.908098012
ENSDART00000135704	0	0	0	0	0	0
ENSDART00000135705	0	0	0	0.088144729	0	0
ENSDART00000135706	2.934250632	3.417428427	3.936116823	3.795348445	4.244054974	4.444405337
ENSDART00000135707	3.237273559	3.076872096	3.008400215	3.253507179	2.996423647	2.802526766
ENSDART00000135708	0	0	0	0	0	0
ENSDART00000135709	0.078375512	0.738021389	0.180734167	0.044745435	0	0.145678621
ENSDART00000135710	1.50707936	0	1.506782414	1.891068863	0	0
ENSDART00000135711	0.116022338	0	0	0.287481842	0	0
ENSDART00000135712	0.188491123	0	0.485820034	0.249757115	0	0.456152326
ENSDART00000135713	0.116022338	0.04314638	0.038003601	0.088144729	0.128933072	0.145678621
ENSDART00000135714	0	0.382484563	0.146353401	0	0	0.309251303
